Date,AAPL,GOOGL,BAC
42738,116.15,808.01,22.53
42739,116.02,807.77,22.95
42740,116.61,813.02,22.68
42741,117.91,825.21,22.68
42744,118.99,827.18,22.55
42745,119.11,826.01,22.94
42746,119.75,829.86,23.07
42747,119.25,829.53,22.92
42748,119.04,830.94,23.01
42752,120,827.46,22.05
42753,119.99,829.02,22.63
42754,119.78,824.37,22.53
42755,120,828.17,22.64
42758,120.08,844.43,22.56
42759,119.97,849.53,22.95
42760,121.88,858.45,23.37
42761,121.94,856.98,23.44
42762,121.95,845.03,23.36
42765,121.63,823.83,22.95
42766,121.35,820.19,22.64
42767,128.75,815.24,22.89
42768,128.53,818.26,22.72
42769,129.08,820.13,23.29
42772,130.29,821.62,23.12
42773,131.53,829.23,22.9
42774,132.04,829.88,22.67
42775,132.42,830.06,23.12
42776,132.12,834.85,23.08
42779,133.29,838.96,23.4
42780,135.02,840.03,24.06
42781,135.51,837.32,24.58
42782,135.34,842.17,24.58
42783,135.72,846.55,24.52
42787,136.7,849.27,24.78
42788,137.11,851.36,24.79
42789,136.53,851,24.58
42790,136.66,847.81,24.23
42793,136.93,849.67,24.57
42794,136.99,844.93,24.68
42795,139.79,856.75,25.5
42796,138.96,849.85,25.23
42797,139.78,849.08,25.44
42800,139.34,847.27,25.25
42801,139.52,851.15,25.21
42802,139,853.64,25.26
42803,138.68,857.84,25.35
42804,139.14,861.4,25.31
42807,139.2,864.58,25.3
42808,138.99,865.91,25.32
42809,140.46,868.39,25.18
42810,140.69,870,25.22
42811,139.99,872.37,24.86
42814,141.46,867.91,24.44
42815,139.84,850.14,23.02
42816,141.42,849.8,22.94
42817,140.92,839.65,23.07
42818,140.64,835.14,23.12
42821,140.88,838.51,23.03
42822,143.8,840.63,23.48
42823,144.12,849.87,23.35
42824,143.93,849.48,23.87
42825,143.66,847.8,23.59
42828,143.7,856.75,23.59
42829,144.77,852.57,23.44
42830,144.02,848.91,23.17
42831,143.66,845.1,23.26
42832,143.34,842.1,23.16
42835,143.17,841.7,23.02
42836,141.63,839.88,22.92
42837,141.8,841.46,22.65
42838,141.05,840.18,22.34
42842,141.83,855.13,22.81
42843,141.2,853.99,22.71
42844,140.68,856.51,22.74
42845,142.44,860.08,23.07
42846,142.27,858.95,22.71
42849,143.64,878.93,23.63
42850,144.53,888.84,23.98
42851,143.68,889.14,23.89
42852,143.79,891.44,23.65
42853,143.65,924.52,23.34
42856,146.58,932.82,23.61
42857,147.51,937.09,23.53
42858,147.06,948.45,23.77
42859,146.53,954.72,23.85
42860,148.96,950.28,23.74
42863,153.01,958.69,23.96
42864,153.99,956.71,23.98
42865,153.26,954.84,24.15
42866,153.95,955.89,24.07
42867,156.1,955.14,24
42870,155.7,959.22,24.06
42871,155.47,964.61,23.99
42872,150.25,942.17,22.57
42873,152.54,950.5,22.74
42874,153.06,954.65,23.05
42877,153.99,964.07,23.04
42878,153.8,970.55,23.39
42879,153.34,977.61,23.36
42880,153.87,991.86,23.25
42881,153.61,993.27,23.24
42885,153.67,996.17,22.91
42886,152.76,987.09,22.41
42887,153.18,988.29,22.63
